age,weight,income,year_of_experience,married
35,70,159100,11,0.0
26,77,151650,9,0.0
27,76,116050,5,0.0
40,77,241700,18,1.0
52,76,169000,11,0.0
28,73,171500,10,0.0
33,59,170050,11,1.0
39,64,49450,0,0.0
61,69,194800,13,1.0
59,63,119700,6,1.0
46,61,157950,11,1.0
51,64,176250,11,1.0
55,74,152750,10,1.0
59,67,98300,4,1.0
42,73,117850,6,1.0
62,63,181250,12,1.0
54,74,126900,7,0.0
39,72,119950,7,0.0
48,73,186750,12,1.0
30,70,217600,16,0.0
46,65,232350,17,1.0
60,73,148700,10,1.0
45,74,136750,7,0.0
54,68,176200,12,1.0
61,66,181800,12,0.0
50,71,258150,20,1.0
28,70,130550,5,0.0
18,72,160700,10,0.0
41,73,153300,9,1.0
34,74,177450,12,0.0
66,71,165550,11,1.0
63,65,181300,10,1.0
57,69,204850,14,1.0
25,64,121150,7,0.0
58,73,170450,11,1.0
55,75,211600,15,1.0
46,72,153550,10,1.0
49,68,125150,6,0.0
61,73,188150,13,1.0
22,69,229400,17,0.0
66,70,135900,7,0.0
20,77,242000,18,0.0
66,78,163250,11,0.0
52,74,142350,8,1.0
45,75,110500,5,0.0
22,70,159450,10,0.0
49,76,123150,7,1.0
19,73,85850,3,0.0
18,72,106500,4,0.0
41,73,141650,8,1.0
55,68,93300,4,1.0
30,72,193300,14,1.0
23,73,200950,14,0.0
58,74,204000,15,0.0
55,68,157250,9,1.0
25,61,232300,17,0.0
58,63,96350,4,0.0
58,69,141500,8,1.0
66,72,129350,7,1.0
48,72,210950,15,0.0
29,74,160750,10,0.0
59,67,214850,16,0.0
48,71,149050,8,1.0
58,69,151600,9,1.0
27,68,133150,6,0.0
30,70,115200,5,0.0
52,70,173100,11,0.0
31,73,181100,13,1.0
45,72,96300,4,1.0
22,71,131300,8,0.0
24,65,137700,8,0.0
38,74,191600,13,1.0
27,69,145000,9,0.0
46,68,96250,3,1.0
26,63,149450,9,0.0
56,66,91250,3,1.0
20,81,115400,6,0.0
35,74,140550,7,0.0
50,63,96000,4,1.0
37,76,181550,12,1.0
21,65,124400,6,0.0
58,74,188400,12,1.0
47,59,178600,13,1.0
65,72,147300,9,0.0
50,72,188000,14,1.0
22,73,134850,7,0.0
39,73,122950,7,1.0
47,72,161400,10,1.0
57,75,220550,16,1.0
59,60,166300,10,1.0
35,66,276900,22,1.0
34,66,146400,8,0.0
38,73,158300,10,1.0
52,72,203500,14,1.0
55,68,194700,13,0.0
43,76,127550,7,1.0
25,68,181900,12,0.0
18,61,103400,5,0.0
31,62,89350,4,1.0
48,73,121700,5,0.0
63,66,129500,7,1.0
20,73,120050,6,0.0
64,65,167150,10,0.0
61,78,146250,9,1.0
40,65,91450,3,1.0
44,70,177100,12,1.0
59,73,110750,5,1.0
66,69,222650,16,1.0
19,62,186750,13,0.0
29,67,85250,2,0.0
23,64,150600,8,0.0
21,82,164700,11,0.0
36,64,138600,7,1.0
41,65,184600,11,0.0
59,68,155050,8,1.0
66,70,174800,12,1.0
59,68,152650,9,1.0
23,72,116750,6,0.0
54,78,124900,7,1.0
32,73,95650,4,0.0
66,67,112150,6,0.0
45,74,223100,17,1.0
20,73,136800,8,0.0
51,68,110650,5,1.0
42,72,170650,11,1.0
62,73,211550,15,1.0
30,73,235450,17,0.0
41,66,100200,3,1.0
24,64,139350,8,0.0
57,61,102700,4,1.0
37,81,131600,8,1.0
42,68,137450,9,0.0
32,70,118450,5,0.0
62,76,218500,16,1.0
61,65,94050,4,1.0
50,70,100650,4,1.0
30,62,147850,9,0.0
31,62,150100,8,0.0
36,75,100500,4,0.0
55,60,87950,3,1.0
66,78,155300,10,1.0
63,61,296550,24,1.0
30,77,175450,11,0.0
53,76,202300,15,1.0
47,69,186200,12,0.0
56,77,153400,10,0.0
60,68,168200,11,0.0
50,64,191500,14,1.0
18,64,198700,14,0.0
36,77,113450,5,0.0
35,64,273650,21,0.0
43,67,67950,2,1.0
36,62,147900,9,0.0
51,65,100650,4,1.0
26,73,126450,7,0.0
19,73,161400,11,0.0
34,75,119550,6,0.0
67,67,209950,15,1.0
39,68,155750,9,0.0
21,69,124700,7,0.0
24,69,129500,7,0.0
62,64,163900,11,1.0
23,64,146100,8,0.0
47,67,144500,9,1.0
31,71,141400,7,0.0
67,67,199100,14,1.0
45,74,159500,10,1.0
59,78,149300,10,1.0
53,62,184650,12,1.0
58,76,113350,5,1.0
39,69,148650,9,0.0
35,67,147800,9,0.0
32,71,144000,8,0.0
55,79,171450,12,0.0
54,65,141950,9,1.0
53,68,155850,9,1.0
60,74,129900,8,1.0
54,64,97400,4,1.0
33,79,149800,8,1.0
57,78,143850,8,1.0
33,68,263800,20,1.0
58,71,88200,4,1.0
62,81,89050,3,0.0
66,74,113150,5,1.0
30,68,155250,10,1.0
53,73,174900,11,1.0
65,64,99400,5,1.0
49,75,231100,16,1.0
42,60,142350,8,0.0
51,77,114850,6,0.0
63,68,110100,5,0.0
39,70,204850,14,1.0
57,77,156900,9,1.0
62,64,184950,13,1.0
33,63,141100,9,1.0
28,72,181650,12,0.0
37,61,123750,5,1.0
51,74,146450,8,1.0
43,68,201100,14,1.0
43,68,90100,3,0.0
56,80,117200,6,1.0
47,68,105250,5,0.0
21,68,105400,5,0.0
63,74,123300,7,0.0
41,68,197000,13,1.0
24,76,106550,4,0.0
56,74,158450,10,1.0
37,76,99150,5,1.0
34,80,182150,12,0.0
29,71,119000,6,0.0
38,67,154800,9,0.0
28,73,92450,3,0.0
42,62,169000,10,1.0
38,68,285800,23,0.0
38,66,125000,7,1.0
40,65,161800,11,1.0
28,72,155900,9,0.0
48,76,118700,6,1.0
25,69,146150,8,0.0
54,69,135950,8,1.0
60,67,171200,11,0.0
18,77,143700,9,0.0
38,61,278750,22,1.0
40,70,175350,10,0.0
65,68,180450,13,1.0
60,76,216650,15,1.0
61,65,174850,11,0.0
49,63,105200,5,1.0
49,61,139700,8,1.0
61,67,166150,11,1.0
45,77,160100,10,1.0
47,72,98950,4,1.0
36,67,115150,6,1.0
21,74,115200,6,0.0
28,74,145300,9,0.0
64,74,159650,10,0.0
43,65,98250,4,1.0
39,69,101700,4,1.0
49,72,138550,7,1.0
43,69,321450,26,1.0
44,63,136050,8,0.0
67,64,142750,8,1.0
49,68,239450,18,0.0
45,62,181550,11,1.0
21,68,172950,10,0.0
33,82,163100,10,0.0
47,66,99950,4,1.0
51,65,126550,6,1.0
30,74,176700,12,0.0
28,71,146250,9,0.0
58,81,186000,12,1.0
57,75,153650,9,0.0
39,73,107550,5,0.0
18,61,128300,7,0.0
54,74,160100,11,0.0
18,70,139200,8,0.0
60,75,104400,5,1.0
35,62,98800,4,0.0
26,76,113850,4,0.0
31,65,132150,7,0.0
35,73,127100,7,0.0
61,64,171950,11,1.0
61,75,109700,4,1.0
45,68,269200,21,0.0
28,67,209350,15,0.0
18,85,157500,10,0.0
25,68,195050,14,0.0
62,72,216750,15,1.0
52,67,126700,7,1.0
29,68,160400,10,0.0
65,65,132100,7,1.0
26,68,163750,11,0.0
26,66,229950,18,0.0
37,69,129200,7,0.0
42,68,131700,7,0.0
27,72,158050,10,0.0
41,66,171700,10,0.0
51,70,202700,14,0.0
35,68,109750,5,1.0
43,70,161950,10,0.0
63,64,208700,14,1.0
33,71,142350,9,1.0
38,61,159850,10,1.0
58,78,135650,8,1.0
24,68,143000,8,0.0
39,69,86900,3,1.0
41,65,147450,9,1.0
62,63,97250,4,1.0
39,62,239200,18,1.0
41,80,89950,4,1.0
36,63,309800,25,1.0
65,75,145600,9,1.0
23,79,73300,2,0.0
58,66,105650,4,0.0
61,62,129200,7,1.0
22,71,128800,8,0.0
46,66,146800,9,1.0
22,69,165450,11,0.0
29,70,189150,13,0.0
27,68,173250,11,0.0
63,76,228200,17,1.0
27,76,95450,4,0.0
25,66,81050,2,0.0
45,57,173700,11,0.0
33,62,104900,5,0.0
28,65,161650,9,0.0
26,60,96200,4,0.0
37,72,148100,9,1.0
31,77,139250,8,0.0
61,71,109100,5,1.0
32,73,139450,9,0.0
29,80,157800,9,0.0
41,77,145250,9,1.0
49,70,71300,1,0.0
63,74,140400,7,1.0
27,74,151850,8,0.0
27,72,155150,9,0.0
41,68,179900,12,0.0
27,66,129950,7,0.0
60,73,154300,10,1.0
38,78,205400,14,0.0
41,79,156550,10,1.0
49,66,152100,10,1.0
33,69,173300,11,0.0
41,59,167350,10,1.0
40,61,116400,6,0.0
28,80,208650,14,0.0
53,73,144700,9,0.0
47,71,177000,12,0.0
34,69,165900,12,0.0
50,70,167000,10,1.0
66,60,229550,17,1.0
46,77,162000,10,1.0
41,70,163250,9,1.0
33,65,123950,6,0.0
54,68,189050,13,0.0
60,73,174150,12,0.0
64,69,135650,7,1.0
56,70,120000,7,1.0
61,77,99600,5,1.0
40,69,160950,10,1.0
46,76,146750,8,1.0
63,72,168000,11,0.0
37,69,95500,4,1.0
63,68,95300,4,1.0
43,68,71150,2,0.0
55,75,93550,4,1.0
48,73,114100,4,0.0
40,80,101900,5,0.0
31,68,163300,11,0.0
62,67,109950,5,1.0
39,67,132700,7,0.0
34,68,122800,6,1.0
57,76,164650,11,0.0
54,67,167550,12,1.0
48,76,129500,7,1.0
28,73,230550,17,0.0
43,69,107000,4,0.0
42,68,219700,15,1.0
47,66,132050,8,0.0
35,64,187350,12,1.0
24,71,231950,17,0.0
29,65,146650,9,0.0
52,68,183600,11,1.0
38,71,126250,7,0.0
67,62,275450,22,1.0
65,63,129150,7,1.0
57,58,205450,15,0.0
43,64,184200,13,1.0
38,69,105250,5,0.0
27,76,108250,5,0.0
37,64,174650,11,0.0
35,72,181750,11,0.0
23,69,103600,4,0.0
57,64,237450,17,1.0
48,72,208450,15,1.0
18,72,140650,9,0.0
60,62,140000,7,1.0
57,67,168750,11,1.0
48,73,87950,3,1.0
53,78,151450,9,1.0
32,64,194450,13,0.0
31,64,115700,5,0.0
33,77,200650,14,1.0
61,70,119500,6,0.0
30,77,88900,3,0.0
48,69,106550,5,1.0
26,73,222800,17,0.0
30,71,115200,6,0.0
41,65,106750,5,0.0
40,68,126900,7,1.0
66,76,147750,9,1.0
42,68,106500,5,1.0
57,56,103200,5,1.0
22,69,107750,5,0.0
46,67,227300,17,0.0
42,63,96850,3,1.0
47,74,139900,8,1.0
37,71,148450,9,1.0
18,76,142800,9,0.0
37,75,125350,7,1.0
29,65,77550,1,0.0
43,73,147050,9,1.0
18,73,155650,9,0.0
66,73,153050,10,0.0
54,73,104500,5,0.0
67,79,109650,5,0.0
65,59,161200,10,1.0
52,66,142300,9,1.0
63,69,169350,11,1.0
39,75,130000,8,1.0
57,76,161150,10,1.0
57,67,105400,5,1.0
32,74,183150,13,1.0
33,61,159150,10,1.0
27,66,162300,10,0.0
30,69,166300,11,1.0
64,68,109750,5,1.0
50,77,260750,18,0.0
26,63,145700,9,0.0
39,67,326900,27,1.0
53,60,139850,8,1.0
61,70,148500,9,1.0
25,68,157850,9,0.0
20,68,90900,4,0.0
47,64,166800,11,1.0
53,72,147450,9,0.0
18,71,205000,14,0.0
30,67,261750,21,0.0
25,64,155700,10,0.0
60,71,122750,6,1.0
41,73,133000,8,1.0
45,73,144750,8,1.0
32,63,157300,10,0.0
26,72,209900,16,0.0
20,79,208350,16,0.0
56,69,134850,7,0.0
33,69,173150,11,1.0
64,71,206300,15,0.0
37,72,160000,11,1.0
42,69,183850,11,1.0
45,82,149150,8,0.0
48,67,188750,12,1.0
62,66,181000,12,1.0
34,63,216900,15,0.0
66,66,120150,7,1.0
28,72,122300,7,0.0
62,65,137000,7,1.0
57,69,178450,13,1.0
44,72,112000,5,0.0
43,74,136950,7,0.0
56,71,179450,10,1.0
37,69,169900,11,1.0
67,64,98300,4,1.0
59,71,177250,11,0.0
46,76,200450,14,1.0
54,76,109900,5,1.0
26,66,117850,6,0.0
62,66,270700,21,1.0
50,64,104100,4,1.0
62,79,90300,3,1.0
41,73,137500,8,0.0
22,70,159000,9,0.0
51,75,148100,8,1.0
23,71,210000,16,0.0
43,78,168600,10,0.0
45,70,173000,11,0.0
34,62,264550,20,0.0
33,67,147400,8,0.0
33,75,192050,13,0.0
39,68,180150,12,0.0
36,65,126550,7,0.0
53,72,131600,5,1.0
33,77,184850,13,0.0
23,66,126900,7,0.0
31,73,126100,7,1.0
19,64,151050,9,0.0
60,77,122500,6,1.0
45,72,166300,10,1.0
56,70,174250,11,0.0
39,77,258850,19,0.0
52,69,135250,8,1.0
25,74,166250,10,0.0
48,72,126050,7,1.0
64,79,151600,9,1.0
58,69,227300,17,1.0
50,81,110250,5,0.0
64,72,149500,9,1.0
41,76,152000,9,1.0
39,73,129850,6,1.0
32,73,179900,13,0.0
54,74,208200,14,0.0
49,74,201950,14,1.0
58,82,184300,13,1.0
58,65,139800,9,0.0
23,70,131650,7,0.0
48,78,184950,12,1.0
64,61,139950,8,1.0
66,65,143400,8,0.0
28,66,124950,5,0.0
28,71,134650,7,0.0
48,77,97650,4,0.0
64,68,131600,6,1.0
49,75,133350,8,0.0
44,61,242800,18,1.0
46,68,104500,4,0.0
27,63,307300,25,0.0
19,77,153200,10,0.0
40,61,124200,6,1.0
63,65,161500,10,1.0
66,74,192750,13,1.0
48,69,111350,5,1.0
45,67,102450,3,1.0
49,74,169600,11,1.0
42,61,105800,6,0.0
54,71,130900,8,0.0
26,71,171850,11,0.0
44,69,148550,9,1.0
24,68,177000,12,0.0
53,65,197550,15,0.0
52,72,170800,11,1.0
51,74,169750,11,1.0
21,73,186100,12,0.0
49,75,135250,8,1.0
26,69,162700,10,0.0
63,70,164200,10,1.0
29,78,215500,14,0.0
62,67,133800,8,1.0
26,67,197900,13,0.0
53,63,134500,7,1.0
45,66,206250,14,1.0
23,68,133850,4,0.0
60,67,167400,10,1.0
18,71,151250,9,0.0
52,75,92250,4,1.0
20,67,218600,16,0.0
19,61,307400,25,0.0
59,69,94850,3,0.0
49,74,203500,13,1.0
52,80,164400,10,1.0
23,71,102050,5,0.0
25,66,160800,10,0.0
37,71,183000,11,1.0
57,74,210300,15,1.0
63,82,144600,7,0.0
32,76,143800,9,1.0
44,65,105400,5,1.0
26,75,174350,12,0.0
37,67,258850,19,1.0
46,70,207250,15,1.0
51,73,173450,11,1.0
46,67,143050,8,1.0
47,71,114200,5,0.0
48,62,145800,8,0.0
40,72,123150,6,0.0
54,77,133650,7,1.0
51,72,141700,8,1.0
52,63,174500,11,0.0
20,66,228250,16,0.0
47,70,188600,13,0.0
55,67,206300,14,0.0
24,74,159950,8,0.0
52,68,159450,11,1.0
36,69,128150,6,1.0
33,73,140100,8,0.0
40,68,177250,12,0.0
26,69,82100,2,0.0
