budget,genres,homepage,id,keywords,original_language,original_title,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,vote_average,vote_count
48000000,"[{""id"": 12, ""name"": ""Adventure""}, {""id"": 28, ""name"": ""Action""}]",http://www.indianajones.com/crusade,89,"[{""id"": 83, ""name"": ""saving the world""}, {""id"": 110, ""name"": ""venice""}, {""id"": 113, ""name"": ""holy grail""}, {""id"": 295, ""name"": ""library""}, {""id"": 483, ""name"": ""riddle""}, {""id"": 494, ""name"": ""father son relationship""}, {""id"": 1294, ""name"": ""whip""}, {""id"": 1454, ""name"": ""treasure""}, {""id"": 2652, ""name"": ""nazis""}, {""id"": 2847, ""name"": ""entrapment""}, {""id"": 2901, ""name"": ""crusader""}, {""id"": 6956, ""name"": ""treasure hunt""}, {""id"": 10685, ""name"": ""escape""}, {""id"": 11102, ""name"": ""panzer""}, {""id"": 14656, ""name"": ""order of the templars""}, {""id"": 41586, ""name"": ""archaeologist""}, {""id"": 176731, ""name"": ""indiana jones""}, {""id"": 184134, ""name"": ""archeology\u00a0""}]",en,Indiana Jones and the Last Crusade,"When Dr. Henry Jones Sr. suddenly goes missing while pursuing the Holy Grail, eminent archaeologist Indiana must team up with Marcus Brody, Sallah and Elsa Schneider to follow in his father's footsteps and stop the Nazis from recovering the power of eternal life.",80.972475,"[{""name"": ""Lucasfilm"", ""id"": 1}, {""name"": ""Paramount Pictures"", ""id"": 4}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",5/24/1989,474171806,127,"[{""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""el"", ""name"": ""\u03b5\u03bb\u03bb\u03b7\u03bd\u03b9\u03ba\u03ac""}, {""iso_639_1"": ""en"", ""name"": ""English""}]",Released,"The man with the hat is back. And this time, he's bringing his Dad.",Indiana Jones and the Last Crusade,7.6,3152
58000000,"[{""id"": 10402, ""name"": ""Music""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 80, ""name"": ""Crime""}, {""id"": 10749, ""name"": ""Romance""}]",,2148,"[{""id"": 1416, ""name"": ""jazz""}, {""id"": 3017, ""name"": ""jazz musician""}, {""id"": 4344, ""name"": ""musical""}, {""id"": 10391, ""name"": ""mafia""}]",en,The Cotton Club,"The story of the people that frequented Harlem's famous nightclubs, 'The Cotton Club', and those that ran it.",8.59075,"[{""name"": ""Orion Pictures"", ""id"": 41}, {""name"": ""PSO International"", ""id"": 427}, {""name"": ""Totally Independent"", ""id"": 991}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/14/1984,25928721,127,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}]",Released,It was the jazz age. It was an era of elegance and violence. The action was gambling. The stakes were life and death.,The Cotton Club,6.6,68
15000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 10752, ""name"": ""War""}]",,1368,"[{""id"": 378, ""name"": ""prison""}, {""id"": 422, ""name"": ""vietnam veteran""}, {""id"": 769, ""name"": ""falsely accused""}, {""id"": 796, ""name"": ""police brutality""}, {""id"": 798, ""name"": ""sheriff""}, {""id"": 1008, ""name"": ""guerrilla""}, {""id"": 1375, ""name"": ""submachine gun""}, {""id"": 1419, ""name"": ""gun""}, {""id"": 2535, ""name"": ""destroy""}, {""id"": 2801, ""name"": ""self-defense""}, {""id"": 2956, ""name"": ""vietnam""}, {""id"": 2957, ""name"": ""vietnam war""}, {""id"": 3246, ""name"": ""prosecution""}, {""id"": 3737, ""name"": ""dying and death""}, {""id"": 3787, ""name"": ""village and town""}, {""id"": 4668, ""name"": ""police operation""}, {""id"": 5034, ""name"": ""attempt to escape""}, {""id"": 5144, ""name"": ""matter of life and death""}, {""id"": 5385, ""name"": ""survivor""}, {""id"": 5386, ""name"": ""tramp""}, {""id"": 5387, ""name"": ""national guard""}, {""id"": 6110, ""name"": ""weapon""}, {""id"": 6112, ""name"": ""firearm""}, {""id"": 6149, ""name"": ""police""}, {""id"": 10685, ""name"": ""escape""}]",en,First Blood,"When former Green Beret John Rambo is harassed by local law enforcement and arrested for vagrancy, the Vietnam vet snaps, runs for the hills and rat-a-tat-tats his way into the action-movie hall of fame. Hounded by a relentless sheriff, Rambo employs heavy-handed guerilla tactics to shake the cops off his tail.",63.071046,"[{""name"": ""Orion Pictures"", ""id"": 41}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",10/22/1982,125212904,93,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,This time he's fighting for his life.,First Blood,7.2,1488
0,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 9648, ""name"": ""Mystery""}]",,593,"[{""id"": 1228, ""name"": ""1970s""}, {""id"": 1565, ""name"": ""loss of sense of reality""}, {""id"": 1603, ""name"": ""extraterrestrial technology""}, {""id"": 2117, ""name"": ""subconsciousness""}, {""id"": 2808, ""name"": ""russian""}, {""id"": 3298, ""name"": ""hallucination""}, {""id"": 3801, ""name"": ""space travel""}, {""id"": 14626, ""name"": ""astronaut""}, {""id"": 157938, ""name"": ""soviet""}]",ru,Солярис,"Ground control has been receiving strange transmissions from the three remaining residents of the Solaris space station. When cosmonaut and psychologist Kris Kelvin is sent to investigate, he experiences the strange phenomena that afflict the Solaris crew, sending him on a voyage into the darkest recesses of his own consciousness. Based on the novel by the same name from Polish author Stanislaw Lem.",24.132271,"[{""name"": ""Mosfilm"", ""id"": 5120}, {""name"": ""Creative Unit of Writers & Cinema Workers"", ""id"": 77882}, {""name"": ""Unit Four"", ""id"": 77883}]","[{""iso_3166_1"": ""RU"", ""name"": ""Russia""}]",3/20/1972,0,167,"[{""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Released,,Solaris,7.7,357
46000000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10752, ""name"": ""War""}]",,113464,[],en,Inchon,A noisy and absurd re-telling of the great 1950 invasion of Inchon during the Korean War which was masterminded by General Douglas MacArthur.,0.146783,"[{""name"": ""Metro-Goldwyn-Mayer (MGM)"", ""id"": 8411}, {""name"": ""Unification Church"", ""id"": 46957}, {""name"": ""One Way Productions"", ""id"": 46958}]","[{""iso_3166_1"": ""KR"", ""name"": ""South Korea""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",5/4/1981,5200000,140,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,LOVE. DESTINY. HEROES. War Changes Everything.,Inchon,6.5,2
0,"[{""id"": 35, ""name"": ""Comedy""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 10751, ""name"": ""Family""}]",,27983,"[{""id"": 428, ""name"": ""nurse""}, {""id"": 4129, ""name"": ""widow""}, {""id"": 10103, ""name"": ""children""}, {""id"": 14648, ""name"": ""parent""}, {""id"": 18027, ""name"": ""sibling""}]",en,"Yours, Mine and Ours","When a widower with 10 children marries a widow with 8, can the 20 of them ever come together as one big happy family?",2.094151,"[{""name"": ""Desilu Productions"", ""id"": 39856}, {""name"": ""Walden Productions"", ""id"": 60537}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",4/24/1968,0,111,"[{""iso_639_1"": ""en"", ""name"": ""English""}]",Released,Their wedding night set new attendence records,"Yours, Mine and Ours",6.2,26
40000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 878, ""name"": ""Science Fiction""}, {""id"": 12, ""name"": ""Adventure""}]",,841,"[{""id"": 530, ""name"": ""prophecy""}, {""id"": 616, ""name"": ""witch""}, {""id"": 1299, ""name"": ""monster""}, {""id"": 1475, ""name"": ""telepathy""}, {""id"": 1815, ""name"": ""atomic bomb""}, {""id"": 1826, ""name"": ""space marine""}, {""id"": 2280, ""name"": ""emperor""}, {""id"": 2766, ""name"": ""mutation""}, {""id"": 3074, ""name"": ""insurgence""}, {""id"": 3801, ""name"": ""space travel""}, {""id"": 4234, ""name"": ""guild""}, {""id"": 4235, ""name"": ""duke""}, {""id"": 4237, ""name"": ""water""}, {""id"": 4238, ""name"": ""chosen one""}, {""id"": 4565, ""name"": ""dystopia""}, {""id"": 4743, ""name"": ""jihad""}, {""id"": 6074, ""name"": ""spice""}, {""id"": 6091, ""name"": ""war""}, {""id"": 194063, ""name"": ""messiah""}, {""id"": 197602, ""name"": ""denunciation""}]",en,Dune,"In the year 10,191, the world is at war for control of the desert planet Dune – the only place where the time-travel substance 'Spice' can be found. But when one leader gives up control, it's only so he can stage a coup with some unsavory characters.",25.876582,"[{""name"": ""Dino De Laurentiis Company"", ""id"": 10308}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",12/14/1984,30925690,137,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""it"", ""name"": ""Italiano""}]",Released,"A world beyond your experience, beyond your imagination.",Dune,6.5,562
44000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 12, ""name"": ""Adventure""}, {""id"": 53, ""name"": ""Thriller""}, {""id"": 10752, ""name"": ""War""}]",,1369,"[{""id"": 279, ""name"": ""usa""}, {""id"": 422, ""name"": ""vietnam veteran""}, {""id"": 1375, ""name"": ""submachine gun""}, {""id"": 1563, ""name"": ""prisoner""}, {""id"": 1968, ""name"": ""prisoners of war""}, {""id"": 2019, ""name"": ""liberation of prisoners""}, {""id"": 2434, ""name"": ""liberation""}, {""id"": 2956, ""name"": ""vietnam""}, {""id"": 2957, ""name"": ""vietnam war""}, {""id"": 3713, ""name"": ""chase""}, {""id"": 4276, ""name"": ""machinegun""}, {""id"": 4595, ""name"": ""u.s. army""}, {""id"": 5774, ""name"": ""forest""}, {""id"": 6025, ""name"": ""photography""}, {""id"": 6086, ""name"": ""government""}, {""id"": 6091, ""name"": ""war""}, {""id"": 9748, ""name"": ""revenge""}, {""id"": 13065, ""name"": ""soldier""}, {""id"": 33705, ""name"": ""agent""}, {""id"": 197602, ""name"": ""denunciation""}]",en,Rambo: First Blood Part II,John Rambo is released from prison by the government for a top-secret covert mission to the last place on Earth he'd want to return - the jungles of Vietnam.,38.653969,"[{""name"": ""TriStar Pictures"", ""id"": 559}, {""name"": ""Carolco Pictures"", ""id"": 14723}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",5/21/1985,300400432,96,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""vi"", ""name"": ""Ti\u1ebfng Vi\u1ec7t""}]",Released,"What most people call hell, he calls home.",Rambo: First Blood Part II,6.3,864
44000000,"[{""id"": 28, ""name"": ""Action""}, {""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 37, ""name"": ""Western""}]",,10935,"[{""id"": 680, ""name"": ""montana""}, {""id"": 797, ""name"": ""showdown""}, {""id"": 1411, ""name"": ""brothel""}, {""id"": 1502, ""name"": ""marshal""}, {""id"": 1691, ""name"": ""dance""}, {""id"": 2356, ""name"": ""immigrant""}, {""id"": 5948, ""name"": ""studies""}, {""id"": 9031, ""name"": ""idealist""}]",en,Heaven's Gate,"Harvard graduate James Averill (Kris Kristofferson) is the sheriff of prosperous Jackson County, Wyo., when a battle erupts between the area's poverty-stricken immigrants and its wealthy cattle farmers. The politically connected ranch owners fight the immigrants with the help of Nathan Champion (Christopher Walken), a mercenary competing with Averill for the love of local madam Ella Watson (Isabelle Huppert). As the struggle escalates, Averill and Champion begin to question their decisions.",5.380124,"[{""name"": ""United Artists"", ""id"": 60}, {""name"": ""The Criterion Collection"", ""id"": 10932}]","[{""iso_3166_1"": ""US"", ""name"": ""United States of America""}]",11/19/1980,3484331,219,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""fr"", ""name"": ""Fran\u00e7ais""}, {""iso_639_1"": ""de"", ""name"": ""Deutsch""}, {""iso_639_1"": ""pl"", ""name"": ""Polski""}, {""iso_639_1"": ""ru"", ""name"": ""P\u0443\u0441\u0441\u043a\u0438\u0439""}]",Released,The only thing greater than their passion for America... was their passion for each other.,Heaven's Gate,6.4,55
31115000,"[{""id"": 18, ""name"": ""Drama""}, {""id"": 36, ""name"": ""History""}, {""id"": 10749, ""name"": ""Romance""}]",,8095,"[{""id"": 5049, ""name"": ""ancient rome""}, {""id"": 6165, ""name"": ""historical figure""}, {""id"": 6715, ""name"": ""cleopatra""}, {""id"": 194576, ""name"": ""julius caesar""}]",en,Cleopatra,"Historical epic. The triumphs and tragedy of the Egyptian queen, Cleopatra.The winner of four Oscars, this epic saga of love, greed and betrayal stars Elizabeth Taylor as the passionate and ambitious Egyptian queen who's determined to hold on to the throne and seduces the Roman emperor Julius Caesar (Rex Harrison). When Caesar is murdered, she redirects her attentions to his general, Marc Antony (Richard Burton), who vows to take power -- but Caesar's successor (Roddy McDowall) has other plans.",13.244365,"[{""name"": ""Twentieth Century Fox Film Corporation"", ""id"": 306}, {""name"": ""MCL Films S.A."", ""id"": 11451}, {""name"": ""Walwa Films S.A."", ""id"": 11452}]","[{""iso_3166_1"": ""GB"", ""name"": ""United Kingdom""}, {""iso_3166_1"": ""US"", ""name"": ""United States of America""}, {""iso_3166_1"": ""CH"", ""name"": ""Switzerland""}]",6/12/1963,71000000,248,"[{""iso_639_1"": ""en"", ""name"": ""English""}, {""iso_639_1"": ""pt"", ""name"": ""Portugu\u00eas""}]",Released,The motion picture the world has been waiting for!,Cleopatra,6.7,146
