accepted,creditscore,amount,age,marital,health_ins,creditgrade
0,305,20597715,68,0,0,C
0,305,75339357,43,1,0,C
0,300,85437413,60,1,0,C
0,314,50254280,84,0,0,C
0,284,65732569,83,0,0,C
0,283,69505931,79,0,0,C
0,306,16818682,41,0,0,C
0,313,66832095,79,0,0,C
0,314,93197489,43,0,0,C
0,312,14261986,81,0,0,C
0,313,2326171,46,0,0,C
0,317,4593870,41,1,0,C
0,287,10377971,75,0,0,C
0,306,58861055,20,0,0,C
0,308,56603769,30,1,0,C
0,294,12608836,57,0,0,C
0,283,91222895,69,0,0,C
0,284,85475567,73,0,0,C
0,315,12532602,31,0,0,C
0,313,26998673,40,1,0,C
0,313,9215753,58,1,0,C
0,287,31119656,84,0,0,C
