year,dep_delay,carrier,origin,dest,air_time,distance
2013,7,UA,EWR,BOS,43,200
2013,53,B6,EWR,BOS,37,200
2013,5,B6,JFK,BOS,34,187
2013,61,EV,EWR,BOS,36,200
2013,9,UA,EWR,BOS,36,200
2013,6,EV,EWR,BOS,40,200
2013,9,B6,EWR,BOS,45,200
2013,86,UA,EWR,BOS,50,200
2013,61,B6,JFK,BOS,41,187
2013,8,UA,EWR,BOS,42,200
2013,7,UA,EWR,BOS,43,200
2013,58,B6,EWR,BOS,40,200
2013,8,UA,EWR,BOS,44,200
2013,5,UA,EWR,BOS,45,200
2013,9,UA,EWR,BOS,53,200
2013,50,US,LGA,BOS,40,184
2013,53,B6,EWR,BOS,38,200
2013,98,AA,JFK,BOS,48,187
2013,8,UA,EWR,BOS,44,200
2013,68,9E,JFK,BOS,42,187
2013,5,B6,EWR,BOS,48,200
2013,7,US,LGA,BOS,42,184
2013,76,UA,EWR,BOS,49,200
2013,57,DL,JFK,BOS,44,187
2013,5,B6,JFK,BOS,41,187
2013,7,B6,JFK,BOS,68,187
2013,5,US,LGA,BOS,38,184
2013,74,US,LGA,BOS,42,184
2013,91,B6,JFK,BOS,43,187
2013,8,DL,JFK,BOS,41,187
2013,9,UA,EWR,BOS,39,200
2013,5,B6,JFK,BOS,38,187
2013,66,AA,JFK,BOS,40,187
2013,90,US,LGA,BOS,34,184
2013,9,UA,EWR,BQN,192,1585
2013,53,UA,EWR,BQN,190,1585
2013,9,B6,JFK,BQN,188,1576
2013,9,UA,EWR,BQN,186,1585
2013,7,B6,JFK,BQN,177,1576
2013,8,B6,JFK,BQN,201,1576
2013,8,B6,JFK,BQN,197,1576
2013,83,EV,EWR,BTV,44,266
2013,52,EV,EWR,BTV,51,266
2013,55,EV,EWR,BTV,49,266
2013,62,B6,JFK,BTV,55,266
2013,7,B6,JFK,BTV,45,266
2013,8,B6,JFK,BTV,43,266
2013,62,EV,EWR,BTV,42,266
2013,5,EV,EWR,BTV,45,266
2013,65,B6,JFK,BTV,44,266
2013,9,EV,EWR,BTV,46,266
2013,66,B6,JFK,BTV,43,266
2013,88,EV,EWR,BTV,47,266
2013,98,EV,EWR,BTV,45,266
2013,59,EV,EWR,BTV,47,266
2013,66,EV,EWR,BTV,45,266
2013,8,EV,EWR,BTV,46,266
2013,7,EV,EWR,BTV,43,266
2013,7,EV,EWR,BTV,47,266
2013,8,B6,JFK,BTV,47,266
2013,84,EV,EWR,BTV,45,266
2013,86,EV,EWR,BTV,49,266
2013,7,EV,EWR,BTV,46,266
2013,83,EV,EWR,BTV,52,266
2013,8,B6,JFK,BTV,48,266
2013,6,B6,JFK,BTV,48,266
2013,8,B6,JFK,BTV,46,266
2013,9,B6,JFK,BUF,63,301
2013,59,EV,EWR,BUF,53,282
2013,71,9E,JFK,BUF,63,301
2013,8,B6,JFK,BUF,59,301
2013,5,EV,EWR,BUF,58,282
2013,56,EV,EWR,BUF,56,282
2013,5,9E,JFK,BUF,67,301
2013,70,9E,JFK,BUF,59,301
2013,58,B6,JFK,BUF,67,301
2013,5,B6,JFK,BUF,58,301
2013,9,9E,JFK,BUF,62,301
2013,72,B6,JFK,BUF,65,301
2013,64,B6,JFK,BUF,64,301
2013,7,B6,JFK,BUF,56,301
2013,67,B6,JFK,BUF,65,301
2013,5,B6,JFK,BUF,58,301
2013,6,B6,JFK,BUF,61,301
2013,7,EV,EWR,BUF,54,282
2013,66,EV,EWR,BUF,52,282
2013,9,B6,JFK,BUF,58,301
2013,8,B6,JFK,BUF,61,301
2013,5,EV,EWR,BUF,52,282
2013,53,9E,JFK,BUF,58,301
2013,8,9E,JFK,BUF,57,301
2013,74,B6,JFK,BUF,54,301
2013,7,B6,JFK,BUF,55,301
2013,63,EV,EWR,BUF,49,282
2013,72,9E,JFK,BUF,56,301
2013,5,9E,JFK,BUF,58,301
2013,8,B6,JFK,BUF,59,301
2013,9,EV,EWR,BUF,55,282
2013,98,EV,EWR,BUF,61,282
2013,7,B6,JFK,BUF,60,301
2013,55,EV,EWR,BUF,58,282
2013,60,EV,EWR,BUF,53,282
2013,93,EV,EWR,BUF,54,282
2013,75,EV,EWR,BUF,45,282
2013,61,B6,JFK,BUF,60,301
2013,62,B6,JFK,BUF,57,301
2013,60,EV,EWR,BUF,55,282
2013,80,EV,EWR,BUF,53,282
2013,74,B6,JFK,BUF,64,301
2013,9,EV,EWR,BUF,51,282
2013,64,EV,EWR,BUF,51,282
2013,8,B6,JFK,BUF,61,301
2013,87,EV,EWR,BUF,56,282
2013,55,B6,JFK,BUF,63,301
2013,8,B6,JFK,BUF,59,301
2013,9,EV,EWR,BUF,53,282
2013,62,9E,JFK,BUF,53,301
2013,66,EV,EWR,BUF,53,282
2013,53,B6,JFK,BUF,61,301
2013,69,9E,JFK,BUF,66,301
2013,59,B6,JFK,BUR,371,2465
2013,5,B6,JFK,BUR,310,2465
2013,59,B6,JFK,BUR,334,2465
2013,8,B6,JFK,BUR,327,2465
2013,6,B6,JFK,BUR,356,2465
2013,853,MQ,JFK,BWI,41,184
2013,67,EV,EWR,BWI,37,169
2013,67,EV,EWR,BWI,35,169
2013,69,EV,EWR,BWI,37,169
2013,8,WN,EWR,BWI,35,169
2013,86,MQ,JFK,BWI,40,184
2013,5,9E,JFK,BWI,40,184
2013,6,9E,JFK,BWI,41,184
2013,7,9E,JFK,BWI,38,184
2013,5,9E,JFK,BWI,37,184
2013,54,EV,EWR,BWI,36,169
2013,8,MQ,JFK,BWI,43,184
2013,8,9E,JFK,BWI,37,184
2013,9,EV,EWR,BWI,39,169
2013,9,9E,JFK,BWI,40,184
2013,6,9E,JFK,BWI,42,184
2013,5,WN,EWR,BWI,36,169
2013,7,WN,EWR,BWI,44,169
2013,99,EV,EWR,BWI,39,169
2013,78,9E,JFK,BWI,39,184
2013,67,EV,EWR,BWI,39,169
2013,58,EV,EWR,BWI,34,169
2013,8,WN,EWR,BWI,34,169
2013,6,9E,JFK,BWI,36,184
2013,5,WN,EWR,BWI,39,169
2013,71,EV,EWR,BWI,37,169
2013,51,EV,EWR,BWI,42,169
2013,55,EV,EWR,BWI,40,169
2013,84,EV,EWR,BWI,38,169
2013,90,9E,JFK,BWI,39,184
2013,57,9E,JFK,BWI,43,184
2013,9,9E,JFK,BWI,39,184
2013,85,EV,EWR,BWI,38,169
2013,89,EV,EWR,BWI,39,169
2013,5,EV,EWR,BWI,34,169
2013,58,9E,JFK,BWI,34,184
2013,5,EV,EWR,BWI,37,169
2013,90,EV,EWR,BWI,48,169
2013,98,EV,EWR,BWI,42,169
2013,96,EV,EWR,BWI,41,169
2013,64,WN,EWR,BWI,59,169
2013,6,EV,EWR,BWI,39,169
2013,73,EV,EWR,BWI,38,169
2013,82,EV,EWR,CAE,98,602
2013,96,EV,EWR,CAE,116,602
2013,90,FL,LGA,CAK,66,397
2013,70,FL,LGA,CAK,69,397
2013,96,FL,LGA,CAK,69,397
2013,54,EV,EWR,DCA,45,199
2013,79,EV,EWR,DCA,46,199
2013,76,EV,EWR,DCA,41,199
2013,91,EV,EWR,DCA,39,199
2013,67,EV,EWR,DCA,44,199
2013,6,EV,EWR,DCA,42,199
2013,7,9E,JFK,DCA,49,213
2013,54,MQ,JFK,DCA,50,213
2013,73,EV,EWR,DCA,42,199
2013,86,9E,JFK,DCA,43,213
2013,7,EV,EWR,DCA,46,199
2013,9,US,LGA,DCA,46,214
2013,8,EV,EWR,DCA,41,199
2013,8,MQ,JFK,DCA,48,213
2013,8,MQ,JFK,DCA,47,213
2013,9,EV,EWR,DCA,44,199
2013,5,EV,EWR,DCA,44,199
2013,93,MQ,JFK,DCA,48,213
2013,6,EV,EWR,DCA,47,199
2013,64,MQ,JFK,DCA,51,213
2013,9,MQ,JFK,DCA,53,213
2013,70,EV,EWR,DCA,53,199
2013,6,US,LGA,DCA,55,214
2013,9,EV,EWR,DCA,49,199
2013,5,EV,EWR,DCA,49,199
2013,6,MQ,JFK,DCA,59,213
2013,63,EV,EWR,DCA,49,199
2013,8,US,LGA,DCA,54,214
2013,69,EV,EWR,DCA,48,199
2013,81,EV,EWR,DCA,50,199
2013,9,MQ,JFK,DCA,56,213
2013,89,EV,EWR,DCA,52,199
2013,5,US,LGA,DCA,59,214
2013,80,EV,EWR,DCA,53,199
2013,60,EV,EWR,DCA,48,199
2013,5,MQ,JFK,DCA,50,213
2013,82,EV,EWR,DCA,43,199
2013,53,EV,EWR,DCA,40,199
2013,5,US,LGA,DCA,49,214
2013,8,EV,EWR,DCA,42,199
2013,7,9E,JFK,DCA,43,213
2013,8,MQ,JFK,DCA,54,213
2013,72,EV,EWR,DCA,45,199
2013,65,US,LGA,DCA,51,214
2013,96,EV,EWR,DCA,40,199
2013,56,US,LGA,DCA,51,214
2013,63,EV,EWR,DCA,48,199
2013,50,EV,EWR,DCA,46,199
2013,61,EV,EWR,DCA,47,199
2013,5,US,LGA,DCA,45,214
2013,58,US,LGA,DCA,52,214
2013,6,US,LGA,DCA,46,214
2013,63,US,LGA,DCA,40,214
2013,7,EV,EWR,DCA,53,199
2013,81,EV,EWR,DCA,47,199
2013,9,US,LGA,DCA,43,214
2013,65,EV,EWR,DCA,40,199
2013,9,EV,EWR,DCA,51,199
2013,5,EV,EWR,DCA,44,199
2013,6,US,LGA,DCA,54,214
2013,54,MQ,JFK,DCA,50,213
2013,5,MQ,JFK,DCA,50,213
2013,8,EV,EWR,DCA,41,199
2013,8,EV,EWR,DCA,40,199
2013,68,EV,EWR,DCA,43,199
2013,99,EV,EWR,DCA,40,199
2013,84,EV,EWR,DCA,47,199
2013,55,9E,JFK,DCA,44,213
2013,95,EV,EWR,DCA,37,199
2013,97,EV,EWR,DCA,39,199
2013,9,EV,EWR,DCA,39,199
2013,61,EV,EWR,DCA,52,199
2013,66,US,LGA,DCA,49,214
2013,73,EV,EWR,DCA,43,199
2013,92,MQ,JFK,DCA,56,213
2013,6,US,LGA,DCA,45,214
2013,55,MQ,JFK,DCA,54,213
2013,6,EV,EWR,DCA,52,199
2013,6,US,LGA,DCA,45,214
2013,50,US,LGA,DCA,48,214
2013,5,UA,EWR,DEN,254,1605
2013,8,UA,EWR,DEN,247,1605
2013,9,B6,JFK,DEN,223,1626
2013,7,WN,EWR,DEN,243,1605
2013,6,WN,EWR,DEN,246,1605
2013,52,DL,LGA,DEN,238,1620
2013,7,UA,LGA,DEN,225,1620
2013,9,UA,LGA,DEN,205,1620
2013,6,UA,LGA,DEN,214,1620
2013,52,UA,EWR,DEN,212,1605
2013,6,DL,JFK,DEN,220,1626
2013,61,F9,LGA,DEN,213,1620
2013,6,UA,LGA,DEN,234,1620
2013,6,UA,EWR,DEN,229,1605
2013,97,B6,JFK,DEN,232,1626
2013,8,UA,LGA,DEN,221,1620
2013,9,DL,JFK,DEN,227,1626
2013,5,UA,LGA,DEN,235,1620
2013,6,UA,LGA,DEN,235,1620
2013,9,WN,LGA,DEN,233,1620
2013,50,UA,EWR,DEN,237,1605
2013,5,UA,EWR,DEN,261,1605
2013,6,UA,EWR,DEN,236,1605
2013,79,UA,EWR,DEN,223,1605
2013,7,UA,LGA,DEN,270,1620
2013,9,F9,LGA,DEN,250,1620
2013,6,UA,LGA,DEN,258,1620
2013,91,UA,EWR,DEN,253,1605
2013,53,WN,LGA,DEN,258,1620
2013,58,UA,LGA,DEN,240,1620
2013,69,UA,LGA,DEN,239,1620
2013,6,WN,LGA,DEN,258,1620
2013,64,WN,EWR,DEN,260,1605
2013,8,UA,LGA,DEN,243,1620
2013,6,UA,LGA,DEN,231,1620
2013,6,UA,EWR,DEN,241,1605
2013,9,WN,LGA,DEN,240,1620
2013,5,UA,EWR,DEN,238,1605
2013,8,UA,EWR,DEN,238,1605
2013,8,UA,LGA,DEN,238,1620
2013,6,UA,EWR,DEN,237,1605
2013,54,DL,JFK,DEN,239,1626
2013,63,F9,LGA,DEN,252,1620
2013,5,UA,EWR,DEN,245,1605
2013,7,UA,LGA,DEN,240,1620
2013,7,UA,EWR,DEN,234,1605
2013,7,DL,JFK,DEN,247,1626
2013,7,DL,LGA,DEN,257,1620
2013,6,UA,EWR,DEN,250,1605
2013,9,UA,LGA,DEN,270,1620
2013,5,UA,EWR,DEN,232,1605
2013,8,WN,EWR,DEN,248,1605
2013,52,UA,EWR,DEN,225,1605
2013,5,UA,LGA,DEN,244,1620
2013,9,DL,JFK,DEN,242,1626
2013,7,UA,LGA,DEN,242,1620
2013,8,UA,EWR,DEN,245,1605
2013,6,B6,JFK,DEN,241,1626
2013,61,UA,LGA,DEN,236,1620
2013,8,UA,EWR,DEN,228,1605
2013,5,UA,LGA,DEN,221,1620
2013,88,UA,LGA,DEN,235,1620
2013,5,AA,LGA,DFW,247,1389
2013,7,AA,LGA,DFW,243,1389
2013,6,UA,EWR,DFW,243,1372
2013,50,AA,EWR,DFW,236,1372
2013,61,AA,LGA,DFW,223,1389
2013,6,AA,LGA,DFW,249,1389
2013,7,AA,LGA,DFW,229,1389
2013,68,AA,LGA,DFW,223,1389
2013,9,AA,LGA,DFW,224,1389
2013,61,AA,LGA,DFW,221,1389
2013,6,UA,EWR,DFW,211,1372
2013,6,AA,LGA,DFW,206,1389
2013,5,9E,JFK,DFW,234,1391
2013,9,AA,LGA,DFW,211,1389
2013,6,AA,LGA,DFW,210,1389
2013,73,AA,EWR,DFW,177,1372
2013,5,UA,EWR,DFW,210,1372
2013,56,AA,LGA,DFW,222,1389
2013,75,AA,JFK,DFW,217,1391
2013,61,AA,EWR,DFW,227,1372
2013,5,UA,EWR,DFW,221,1372
2013,5,AA,EWR,DFW,222,1372
2013,60,AA,LGA,DFW,201,1389
2013,6,UA,EWR,DFW,205,1372
2013,9,9E,JFK,DFW,196,1391
2013,79,UA,EWR,DFW,215,1372
2013,9,AA,LGA,DFW,225,1389
2013,9,AA,LGA,DFW,230,1389
2013,88,AA,EWR,DFW,222,1372
2013,9,UA,EWR,DFW,231,1372
2013,9,9E,JFK,DFW,237,1391
2013,72,AA,LGA,DFW,250,1389
2013,7,AA,EWR,DFW,227,1372
2013,7,AA,JFK,DFW,216,1391
2013,6,UA,EWR,DFW,234,1372
2013,75,AA,JFK,DFW,226,1391
2013,64,UA,EWR,DFW,211,1372
2013,8,UA,EWR,DFW,220,1372
2013,95,AA,LGA,DFW,203,1389
2013,64,AA,LGA,DFW,210,1389
2013,66,AA,LGA,DFW,210,1389
2013,51,AA,LGA,DFW,206,1389
2013,9,UA,EWR,DFW,193,1372
2013,7,UA,EWR,DFW,208,1372
2013,6,UA,EWR,DFW,217,1372
2013,76,9E,JFK,DFW,233,1391
2013,67,AA,LGA,DFW,204,1389
2013,68,AA,LGA,DFW,208,1389
2013,71,AA,LGA,DFW,212,1389
2013,87,AA,LGA,DFW,205,1389
2013,8,AA,EWR,DFW,197,1372
2013,9,AA,LGA,DFW,221,1389
2013,7,AA,JFK,DFW,205,1391
2013,9,AA,EWR,DFW,196,1372
2013,60,AA,LGA,DFW,228,1389
2013,5,AA,LGA,DFW,224,1389
2013,5,AA,LGA,DFW,212,1389
2013,7,AA,LGA,DFW,209,1389
2013,7,AA,JFK,DFW,204,1391
2013,6,UA,EWR,DFW,198,1372
2013,99,AA,LGA,DFW,204,1389
2013,90,UA,EWR,DFW,204,1372
2013,81,9E,JFK,DFW,198,1391
2013,60,AA,EWR,DFW,203,1372
2013,5,UA,EWR,DFW,200,1372
2013,83,AA,LGA,DFW,253,1389
2013,50,AA,LGA,DFW,226,1389
2013,51,UA,EWR,DFW,215,1372
2013,55,AA,LGA,DFW,226,1389
2013,5,AA,LGA,DFW,214,1389
2013,82,AA,LGA,DFW,220,1389
2013,91,UA,EWR,DFW,210,1372
2013,61,EV,EWR,DSM,181,1017
2013,86,EV,EWR,DSM,168,1017
2013,57,EV,EWR,DSM,152,1017
2013,7,DL,LGA,DTW,92,502
2013,65,EV,EWR,DTW,86,488
2013,6,DL,JFK,DTW,92,509
2013,6,9E,JFK,DTW,95,509
2013,8,EV,EWR,DTW,84,488
2013,5,DL,LGA,DTW,86,502
2013,82,EV,EWR,DTW,90,488
2013,7,9E,JFK,DTW,93,509
2013,77,EV,EWR,DTW,89,488
2013,91,MQ,LGA,DTW,88,502
2013,5,DL,LGA,DTW,79,502
2013,93,DL,LGA,DTW,108,502
2013,77,EV,EWR,DTW,85,488
2013,6,9E,JFK,DTW,90,509
2013,5,EV,EWR,DTW,84,488
2013,5,EV,EWR,DTW,85,488
2013,54,DL,LGA,DTW,87,502
2013,5,DL,LGA,DTW,93,502
2013,6,DL,LGA,DTW,83,502
2013,51,9E,JFK,DTW,88,509
2013,69,9E,EWR,DTW,86,488
2013,57,MQ,LGA,DTW,85,502
2013,61,MQ,LGA,DTW,97,502
2013,65,9E,JFK,DTW,93,509
2013,8,EV,EWR,DTW,87,488
2013,69,EV,EWR,DTW,99,488
2013,7,EV,EWR,DTW,95,488
2013,72,EV,EWR,DTW,93,488
2013,88,EV,EWR,DTW,87,488
2013,6,9E,JFK,DTW,103,509
2013,7,DL,LGA,DTW,100,502
2013,52,EV,EWR,DTW,101,488
2013,8,EV,EWR,DTW,90,488
2013,79,9E,EWR,DTW,84,488
2013,79,9E,JFK,DTW,91,509
2013,5,EV,EWR,DTW,93,488
2013,9,EV,EWR,DTW,97,488
2013,51,EV,EWR,DTW,97,488
2013,9,MQ,LGA,DTW,101,502
2013,53,EV,EWR,DTW,91,488
2013,63,EV,EWR,DTW,89,488
2013,77,MQ,LGA,DTW,88,502
2013,9,MQ,LGA,DTW,93,502
2013,5,9E,JFK,DTW,91,509
2013,93,EV,EWR,DTW,94,488
2013,71,DL,LGA,DTW,83,502
2013,91,9E,JFK,DTW,87,509
2013,6,EV,EWR,DTW,87,488
2013,8,MQ,LGA,DTW,82,502
2013,8,EV,EWR,DTW,94,488
2013,5,DL,JFK,DTW,95,509
2013,53,EV,EWR,DTW,80,488
2013,73,EV,EWR,DTW,90,488
2013,6,EV,EWR,DTW,84,488
2013,58,EV,EWR,DTW,95,488
2013,81,EV,EWR,DTW,86,488
2013,6,DL,JFK,DTW,93,509
2013,62,EV,EWR,DTW,94,488
2013,9,DL,LGA,DTW,84,502
2013,9,9E,JFK,DTW,94,509
2013,66,MQ,LGA,DTW,97,502
2013,56,DL,LGA,DTW,84,502
2013,52,EV,EWR,DTW,83,488
2013,57,DL,LGA,DTW,82,502
2013,56,MQ,LGA,DTW,84,502
2013,59,EV,EWR,DTW,87,488
2013,8,EV,EWR,DTW,83,488
2013,9,DL,LGA,DTW,84,502
